vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,43,Female,Only now and then,FL,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,36 to 50,White
Joe Biden,27,Male,Some of the time,IA,"Less than $14,999",Not Hispanic,High school graduate,Very Liberal,0,1,21 to 35,White
Donald Trump,28,Female,Hardly at all,AK,"$25,000 to $29,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,21 to 35,White
Donald Trump,37,Male,Some of the time,OK,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,49,Male,Some of the time,WA,"$70,000 to $74,999",Not Hispanic,Completed some high school,Liberal,1,0,36 to 50,White
Donald Trump,85,Female,Only now and then,MI,"Less than $14,999",Not Hispanic,High school graduate,Moderate,1,0,above 80,White
Joe Biden,25,Male,Most of the time,CA,"$95,000 to $99,999",Mexican,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,21 to 35,"Black, or African American"
Joe Biden,39,Male,Some of the time,GA,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,33,Male,Most of the time,CA,"$100,000 to $124,999",Argentinian,"College Degree (such as B.A., B.S.)",Moderate,1,0,21 to 35,White
Joe Biden,43,Male,Most of the time,OH,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Joe Biden,69,Female,Some of the time,GA,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Donald Trump,63,Male,Most of the time,NY,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Joe Biden,38,Male,Some of the time,NH,"$150,000 to $174,999",Not Hispanic,Associate Degree,Liberal,0,1,36 to 50,White
Donald Trump,73,Male,Most of the time,ID,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,66 to 80,White
Donald Trump,66,Male,Most of the time,IA,"$30,000 to $34,999",Not Hispanic,High school graduate,Not Sure,1,0,66 to 80,White
Joe Biden,34,Male,Some of the time,IL,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,White
Donald Trump,48,Male,Some of the time,AR,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,36 to 50,White
Joe Biden,39,Male,Most of the time,VA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,0,1,36 to 50,White
Joe Biden,73,Female,Only now and then,CA,"$25,000 to $29,999",Mexican,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Donald Trump,31,Male,Some of the time,CA,"$65,000 to $69,999",Not Hispanic,High school graduate,Moderate,1,0,21 to 35,White
Donald Trump,32,Male,Most of the time,KS,"$70,000 to $74,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,21 to 35,White
Joe Biden,67,Male,Most of the time,WA,"$125,000 to $149,999",Not Hispanic,Associate Degree,Moderate,0,1,66 to 80,White
Donald Trump,81,Male,Most of the time,NJ,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,above 80,White
Donald Trump,42,Male,Most of the time,CA,"$200,000 to $249,999",Not Hispanic,Doctorate degree,Very Liberal,1,0,36 to 50,White
Donald Trump,61,Male,Most of the time,OR,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Donald Trump,69,Female,Most of the time,FL,"$65,000 to $69,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Donald Trump,36,Male,Most of the time,NY,"$125,000 to $149,999",Spanish,Masters degree,Moderate,1,0,36 to 50,American Indian or Alaska Native
Donald Trump,66,Male,Most of the time,AZ,"$60,000 to $64,999",Not Hispanic,High school graduate,Moderate,1,0,66 to 80,White
Joe Biden,25,Female,Some of the time,NC,"Less than $14,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,0,1,21 to 35,White
Joe Biden,38,Female,Most of the time,PA,"$75,000 to $79,999",Nicaraguan,Doctorate degree,Moderate,0,1,36 to 50,Chinese
Joe Biden,67,Female,Most of the time,CA,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,"Black, or African American"
Donald Trump,64,Male,Some of the time,IL,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,45,Male,Most of the time,VA,"$70,000 to $74,999",Mexican,Associate Degree,Moderate,0,1,36 to 50,White
Joe Biden,42,Male,Most of the time,NY,"$125,000 to $149,999",Not Hispanic,Doctorate degree,Very Liberal,0,1,36 to 50,White
Donald Trump,20,Male,Most of the time,IL,"$75,000 to $79,999",Not Hispanic,Doctorate degree,Not Sure,1,0,20 or less,"Black, or African American"
Joe Biden,28,Male,Some of the time,GA,"Less than $14,999",Not Hispanic,High school graduate,Moderate,0,1,21 to 35,"Black, or African American"
Donald Trump,64,Male,Most of the time,MN,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Donald Trump,78,Male,Some of the time,MN,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,43,Female,Only now and then,NJ,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Joe Biden,21,Female,Some of the time,TN,"$35,000 to $39,999",Mexican,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Joe Biden,80,Female,Most of the time,AZ,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,72,Female,Most of the time,PA,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,66 to 80,White
Joe Biden,40,Female,Only now and then,FL,"$125,000 to $149,999",Mexican,Masters degree,Very Liberal,0,1,36 to 50,White
Joe Biden,29,Female,Most of the time,IL,"$90,000 to $94,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,White
Joe Biden,45,Female,Most of the time,MI,"$75,000 to $79,999",Venezuelan,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,36 to 50,White
Donald Trump,69,Female,Some of the time,MI,"$20,000 to $24,999",Not Hispanic,High school graduate,Liberal,1,0,66 to 80,White
Donald Trump,68,Female,Most of the time,OH,"$30,000 to $34,999",Not Hispanic,High school graduate,Very Conservative,1,0,66 to 80,White
Joe Biden,66,Male,Most of the time,AL,"$85,000 to $89,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Donald Trump,76,Male,Most of the time,AZ,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,31,Male,Some of the time,LA,"$25,000 to $29,999",Not Hispanic,Associate Degree,Very Liberal,0,1,21 to 35,other asian or pacific islander
Donald Trump,45,Female,Most of the time,LA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,27,Female,Most of the time,FL,"Less than $14,999",Mexican,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,Other race
Donald Trump,38,Male,Some of the time,NV,"$30,000 to $34,999",Not Hispanic,High school graduate,Conservative,1,0,36 to 50,White
Joe Biden,34,Female,Some of the time,CA,"$75,000 to $79,999",Mexican,"Completed some college, but no degree",Moderate,0,1,21 to 35,Other race
Donald Trump,57,Female,Some of the time,FL,"$100,000 to $124,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,American Indian or Alaska Native
Joe Biden,65,Female,Some of the time,CA,"$85,000 to $89,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,"Black, or African American"
Joe Biden,66,Male,Some of the time,KS,"$65,000 to $69,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,66 to 80,White
Joe Biden,62,Male,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Joe Biden,40,Male,Some of the time,ID,"$80,000 to $84,999",Not Hispanic,Associate Degree,Not Sure,0,1,36 to 50,White
Joe Biden,33,Female,Only now and then,NY,"Less than $14,999",Mexican,High school graduate,Moderate,0,1,21 to 35,"Black, or African American"
Joe Biden,30,Female,Some of the time,WI,"$70,000 to $74,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Donald Trump,67,Male,Most of the time,WV,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Donald Trump,58,Male,Some of the time,AZ,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,51 to 65,White
Donald Trump,54,Male,Most of the time,TX,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
