vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,49,Female,Some of the time,WI,"$75,000 to $79,999",Not Hispanic,Associate Degree,Conservative,1,0,36 to 50,White
Donald Trump,46,Female,Some of the time,VA,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,75,Female,Most of the time,TX,"$65,000 to $69,999",Not Hispanic,High school graduate,Conservative,1,0,66 to 80,White
Donald Trump,52,Female,Most of the time,WA,"Less than $14,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Joe Biden,21,Female,Some of the time,MA,"$80,000 to $84,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,21 to 35,White
Joe Biden,38,Female,Some of the time,TX,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,36 to 50,"Black, or African American"
Donald Trump,69,Female,Some of the time,CA,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,66 to 80,White
Donald Trump,59,Female,Most of the time,NC,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Donald Trump,74,Female,Most of the time,MD,"$20,000 to $24,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,1,0,66 to 80,White
Joe Biden,55,Female,Most of the time,FL,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Donald Trump,62,Female,Hardly at all,WV,"$15,000 to $19,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,42,Female,Some of the time,OH,"$30,000 to $34,999",Not Hispanic,High school graduate,Moderate,0,1,36 to 50,White
Joe Biden,81,Female,Most of the time,NY,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,above 80,White
Joe Biden,22,Female,Some of the time,KY,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,White
Donald Trump,71,Male,Most of the time,IN,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,41,Male,Most of the time,WA,"Less than $14,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,71,Female,Some of the time,IA,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Donald Trump,55,Female,Most of the time,SC,"$75,000 to $79,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Joe Biden,68,Male,Most of the time,MN,"$85,000 to $89,999",Not Hispanic,Associate Degree,Moderate,0,1,66 to 80,White
Donald Trump,69,Female,Most of the time,GA,"$90,000 to $94,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,66 to 80,White
Donald Trump,33,Female,Most of the time,PA,"$75,000 to $79,999",Not Hispanic,Masters degree,Very Conservative,1,0,21 to 35,White
Joe Biden,70,Female,Most of the time,NJ,"$60,000 to $64,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,White
Donald Trump,32,Female,Most of the time,VA,"$30,000 to $34,999",Not Hispanic,Associate Degree,Liberal,1,0,21 to 35,White
Donald Trump,77,Female,Most of the time,SC,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,65,Female,Some of the time,TX,"$100,000 to $124,999",Not Hispanic,Associate Degree,Conservative,1,0,51 to 65,White
Joe Biden,22,Female,Most of the time,FL,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,"Black, or African American"
Joe Biden,63,Female,Most of the time,AZ,"$65,000 to $69,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Joe Biden,79,Male,Most of the time,IL,"$45,000 to $49,999",Not Hispanic,Masters degree,Moderate,0,1,66 to 80,White
Donald Trump,70,Male,Some of the time,OH,"$75,000 to $79,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Joe Biden,54,Female,Most of the time,OH,"$80,000 to $84,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Joe Biden,72,Male,Most of the time,CA,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,66 to 80,White
Donald Trump,40,Female,Hardly at all,FL,"$20,000 to $24,999",Not Hispanic,Completed some high school,Not Sure,1,0,36 to 50,White
Joe Biden,69,Female,Most of the time,NC,"$65,000 to $69,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,"Black, or African American"
Joe Biden,37,Male,Some of the time,TX,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Joe Biden,36,Female,Most of the time,FL,"$150,000 to $174,999",Not Hispanic,Doctorate degree,Very Liberal,0,1,36 to 50,White
Joe Biden,40,Female,Some of the time,TX,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,36 to 50,White
Joe Biden,41,Female,Most of the time,NJ,"$80,000 to $84,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,72,Female,Only now and then,OR,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,66 to 80,White
Donald Trump,55,Female,Most of the time,PA,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,80,Female,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,"Black, or African American"
Joe Biden,66,Female,Some of the time,NC,"$80,000 to $84,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Donald Trump,40,Female,Most of the time,TX,"$35,000 to $39,999",Not Hispanic,High school graduate,Moderate,1,0,36 to 50,White
Donald Trump,31,Male,Some of the time,VA,"$75,000 to $79,999",Not Hispanic,Masters degree,Moderate,1,0,21 to 35,other asian or pacific islander
Donald Trump,69,Male,Most of the time,OH,"$95,000 to $99,999",Not Hispanic,Masters degree,Conservative,1,0,66 to 80,White
Joe Biden,31,Female,Some of the time,CA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,Chinese
Joe Biden,51,Female,Most of the time,IL,"$85,000 to $89,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Donald Trump,78,Female,Most of the time,NC,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,58,Female,Most of the time,MI,"$50,000 to $54,999",Not Hispanic,High school graduate,Liberal,0,1,51 to 65,White
Joe Biden,19,Female,Most of the time,CA,"$150,000 to $174,999",Not Hispanic,Masters degree,Very Liberal,0,1,20 or less,White
Joe Biden,41,Female,Most of the time,MI,"$65,000 to $69,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,36 to 50,White
Joe Biden,39,Male,Most of the time,CT,"$30,000 to $34,999",Not Hispanic,Completed some high school,Liberal,0,1,36 to 50,White
Donald Trump,63,Female,Some of the time,NC,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,51 to 65,White
Donald Trump,73,Female,Hardly at all,CT,"$45,000 to $49,999",Not Hispanic,Associate Degree,Moderate,1,0,66 to 80,White
Donald Trump,38,Female,Some of the time,NC,"$40,000 to $44,999",Not Hispanic,Masters degree,Conservative,1,0,36 to 50,White
Donald Trump,69,Female,Most of the time,OR,"$30,000 to $34,999",Not Hispanic,Associate Degree,Very Conservative,1,0,66 to 80,White
Donald Trump,61,Female,Most of the time,IL,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Conservative,1,0,51 to 65,White
Donald Trump,54,Female,Some of the time,CA,"$30,000 to $34,999",Not Hispanic,Masters degree,Conservative,1,0,51 to 65,White
Joe Biden,70,Female,Most of the time,FL,"$150,000 to $174,999",Not Hispanic,Masters degree,Liberal,0,1,66 to 80,White
Joe Biden,53,Female,Some of the time,IA,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,White
Donald Trump,52,Female,Only now and then,GA,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Conservative,1,0,51 to 65,White
Joe Biden,63,Female,Most of the time,NY,"$75,000 to $79,999",Not Hispanic,Masters degree,Liberal,0,1,51 to 65,White
Joe Biden,63,Female,Some of the time,WA,"$25,000 to $29,999",Not Hispanic,Associate Degree,Moderate,0,1,51 to 65,White
Joe Biden,38,Female,Only now and then,MI,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,36 to 50,White
Joe Biden,45,Female,Some of the time,OH,"$55,000 to $59,999",Not Hispanic,High school graduate,Moderate,0,1,36 to 50,White
Donald Trump,30,Female,Most of the time,IL,"$45,000 to $49,999",Not Hispanic,High school graduate,Very Conservative,1,0,21 to 35,White
Joe Biden,66,Female,Most of the time,MA,"$90,000 to $94,999",Not Hispanic,High school graduate,Moderate,0,1,66 to 80,White
Joe Biden,40,Female,Some of the time,MO,"$80,000 to $84,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,Chinese
Joe Biden,49,Female,Most of the time,CO,"$60,000 to $64,999",Not Hispanic,Masters degree,Liberal,0,1,36 to 50,White
Donald Trump,60,Female,Some of the time,NC,"$90,000 to $94,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,68,Female,Most of the time,NY,"$70,000 to $74,999",Not Hispanic,Masters degree,Very Liberal,0,1,66 to 80,White
Donald Trump,58,Female,Some of the time,IN,"$60,000 to $64,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,33,Female,Only now and then,CA,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,Chinese
Donald Trump,26,Female,Some of the time,FL,"$250,000 and above",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,21 to 35,White
Donald Trump,76,Female,Most of the time,PA,"$65,000 to $69,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,38,Female,Only now and then,SC,"$25,000 to $29,999",Not Hispanic,High school graduate,Moderate,1,0,36 to 50,White
Donald Trump,53,Female,Most of the time,IL,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Conservative,1,0,51 to 65,White
Joe Biden,64,Female,Some of the time,OH,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,White
Donald Trump,49,Male,Some of the time,NY,"$90,000 to $94,999",Not Hispanic,Masters degree,Moderate,1,0,36 to 50,White
Donald Trump,66,Male,Hardly at all,IA,"$65,000 to $69,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,56,Female,Most of the time,WI,"$125,000 to $149,999",Not Hispanic,Masters degree,Very Conservative,1,0,51 to 65,White
Joe Biden,26,Female,Most of the time,CT,"$85,000 to $89,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,0,1,21 to 35,White
Donald Trump,58,Female,Most of the time,PA,"$30,000 to $34,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,72,Female,Most of the time,NJ,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,36,Female,Most of the time,DC,"$60,000 to $64,999",Not Hispanic,Masters degree,Liberal,0,1,36 to 50,White
Joe Biden,70,Male,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,Masters degree,Moderate,0,1,66 to 80,White
Joe Biden,40,Female,Most of the time,NY,"$150,000 to $174,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Donald Trump,42,Male,Some of the time,FL,"$150,000 to $174,999",Not Hispanic,Masters degree,Moderate,1,0,36 to 50,White
Joe Biden,26,Male,Some of the time,FL,"Less than $14,999",Not Hispanic,Completed some high school,Moderate,0,1,21 to 35,"Black, or African American"
Joe Biden,45,Male,Some of the time,NY,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,36 to 50,Chinese
Donald Trump,57,Female,Most of the time,GA,"$30,000 to $34,999",Not Hispanic,Associate Degree,Very Conservative,1,0,51 to 65,White
Donald Trump,55,Female,Most of the time,IL,"$90,000 to $94,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,70,Male,Some of the time,NM,"$55,000 to $59,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Joe Biden,55,Female,Most of the time,TN,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,51 to 65,White
Joe Biden,46,Female,Most of the time,CA,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,36 to 50,Chinese
Donald Trump,32,Female,Most of the time,NC,"$55,000 to $59,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,21 to 35,White
Donald Trump,66,Female,Only now and then,VA,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,66 to 80,White
Donald Trump,35,Male,Most of the time,MN,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,21 to 35,White
Donald Trump,71,Male,Most of the time,WI,"$25,000 to $29,999",Not Hispanic,Associate Degree,Moderate,1,0,66 to 80,White
Joe Biden,37,Female,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Joe Biden,27,Female,Some of the time,OK,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,21 to 35,White
Donald Trump,61,Female,Most of the time,IL,"$100,000 to $124,999",Not Hispanic,Masters degree,Moderate,1,0,51 to 65,White
Donald Trump,47,Male,Some of the time,FL,"$100,000 to $124,999",Not Hispanic,Masters degree,Moderate,1,0,36 to 50,White
Donald Trump,45,Female,Most of the time,TX,"$55,000 to $59,999",Not Hispanic,Doctorate degree,Conservative,1,0,36 to 50,White
Donald Trump,53,Male,Most of the time,OH,"$15,000 to $19,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,51 to 65,White
Joe Biden,65,Male,Most of the time,AZ,"$50,000 to $54,999",Not Hispanic,Associate Degree,Moderate,0,1,51 to 65,White
Donald Trump,50,Female,Most of the time,NJ,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Joe Biden,67,Male,Most of the time,CO,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Joe Biden,55,Male,Most of the time,PA,"$40,000 to $44,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,other asian or pacific islander
Joe Biden,48,Female,Some of the time,OH,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,36 to 50,White
Joe Biden,68,Male,Some of the time,HI,"$25,000 to $29,999",Not Hispanic,Associate Degree,Conservative,0,1,66 to 80,other asian or pacific islander
Joe Biden,32,Female,Some of the time,FL,"$150,000 to $174,999",Not Hispanic,Masters degree,Liberal,0,1,21 to 35,White
Joe Biden,67,Female,Most of the time,NJ,"$60,000 to $64,999",Not Hispanic,Associate Degree,Very Liberal,0,1,66 to 80,"Black, or African American"
Donald Trump,52,Female,Only now and then,TX,"Less than $14,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Donald Trump,73,Male,Some of the time,TX,"$80,000 to $84,999",Not Hispanic,Associate Degree,Conservative,1,0,66 to 80,White
Donald Trump,81,Male,Most of the time,MT,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Conservative,1,0,above 80,White
Joe Biden,66,Female,Some of the time,PA,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Donald Trump,81,Male,Some of the time,CA,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,above 80,Chinese
Donald Trump,65,Female,Most of the time,TN,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Joe Biden,62,Female,Most of the time,NC,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,White
Donald Trump,21,Female,Some of the time,PA,"$15,000 to $19,999",Not Hispanic,High school graduate,Conservative,1,0,21 to 35,White
Joe Biden,44,Female,Most of the time,CT,"$75,000 to $79,999",Other Hispanic,Associate Degree,Moderate,0,1,36 to 50,Other race
Donald Trump,33,Female,Some of the time,TN,"$100,000 to $124,999",Not Hispanic,Doctorate degree,Moderate,1,0,21 to 35,"Black, or African American"
Donald Trump,58,Female,Some of the time,TN,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,60,Female,Most of the time,IL,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Joe Biden,40,Female,Some of the time,CT,"Less than $14,999",Not Hispanic,High school graduate,Liberal,0,1,36 to 50,White
Joe Biden,61,Female,Most of the time,WI,"$55,000 to $59,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,51 to 65,White
Joe Biden,37,Female,Some of the time,FL,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Joe Biden,67,Female,Most of the time,VT,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Joe Biden,28,Male,Some of the time,NY,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Donald Trump,28,Female,Most of the time,KY,"$15,000 to $19,999",Not Hispanic,High school graduate,Moderate,1,0,21 to 35,White
Donald Trump,62,Female,Most of the time,MD,"$25,000 to $29,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Joe Biden,68,Female,Most of the time,MO,"$40,000 to $44,999",Not Hispanic,Masters degree,Liberal,0,1,66 to 80,White
Donald Trump,52,Female,Most of the time,FL,"$175,000 to $199,999",Not Hispanic,Masters degree,Moderate,1,0,51 to 65,White
Joe Biden,73,Female,Most of the time,MT,"$95,000 to $99,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Joe Biden,38,Female,Most of the time,WI,"$15,000 to $19,999",Not Hispanic,Completed some high school,Moderate,0,1,36 to 50,"Black, or African American"
Donald Trump,61,Female,Most of the time,IL,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,63,Female,Most of the time,MO,"$150,000 to $174,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,White
Donald Trump,67,Female,Most of the time,TX,"$70,000 to $74,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Joe Biden,52,Male,Most of the time,TN,"$20,000 to $24,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,"Black, or African American"
Joe Biden,25,Female,Some of the time,UT,"$55,000 to $59,999",Not Hispanic,Associate Degree,Liberal,0,1,21 to 35,White
Joe Biden,44,Male,Most of the time,MN,"$45,000 to $49,999",Not Hispanic,Associate Degree,Very Liberal,0,1,36 to 50,White
Joe Biden,74,Female,Most of the time,SC,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Donald Trump,65,Female,Most of the time,GA,"$50,000 to $54,999",Not Hispanic,Associate Degree,Conservative,1,0,51 to 65,White
Joe Biden,39,Female,Some of the time,CA,"$35,000 to $39,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Donald Trump,50,Female,Most of the time,VA,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,68,Female,Some of the time,WV,"$70,000 to $74,999",Not Hispanic,High school graduate,Moderate,1,0,66 to 80,White
Joe Biden,18,Male,Some of the time,FL,"$35,000 to $39,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,20 or less,White
Donald Trump,56,Female,Some of the time,NE,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Donald Trump,51,Female,Most of the time,MI,"$15,000 to $19,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Joe Biden,62,Female,Most of the time,AZ,"$70,000 to $74,999",Not Hispanic,Associate Degree,Moderate,0,1,51 to 65,White
Donald Trump,73,Female,Most of the time,TN,"$25,000 to $29,999",Not Hispanic,High school graduate,Conservative,1,0,66 to 80,White
Joe Biden,55,Male,Most of the time,MA,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,51 to 65,White
Donald Trump,58,Female,Only now and then,IL,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Joe Biden,66,Female,Most of the time,CA,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,74,Female,Most of the time,NY,"$30,000 to $34,999",Not Hispanic,High school graduate,Moderate,0,1,66 to 80,White
Donald Trump,33,Male,Only now and then,CO,"$15,000 to $19,999",Not Hispanic,High school graduate,Moderate,1,0,21 to 35,White
Joe Biden,37,Female,Most of the time,HI,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,other asian or pacific islander
Joe Biden,63,Female,Most of the time,CA,"$175,000 to $199,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Donald Trump,41,Male,Most of the time,CA,"$55,000 to $59,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,54,Female,Only now and then,NY,"$35,000 to $39,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,51 to 65,White
Joe Biden,41,Male,Most of the time,DC,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,36 to 50,"Black, or African American"
Joe Biden,73,Female,Most of the time,FL,"$70,000 to $74,999",Not Hispanic,Masters degree,Liberal,0,1,66 to 80,White
Donald Trump,44,Male,Some of the time,TX,"$175,000 to $199,999",Not Hispanic,Masters degree,Very Liberal,1,0,36 to 50,White
Donald Trump,44,Male,Most of the time,NY,"$200,000 to $249,999",Not Hispanic,Masters degree,Very Conservative,1,0,36 to 50,White
Donald Trump,40,Male,Some of the time,GA,"$20,000 to $24,999",Not Hispanic,Associate Degree,Conservative,1,0,36 to 50,White
Joe Biden,23,Male,Some of the time,NY,"$70,000 to $74,999",Not Hispanic,High school graduate,Moderate,0,1,21 to 35,"Black, or African American"
Joe Biden,32,Female,Only now and then,OH,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Joe Biden,39,Male,Most of the time,CO,"$200,000 to $249,999",Not Hispanic,Doctorate degree,Very Conservative,0,1,36 to 50,White
Joe Biden,32,Male,Some of the time,NJ,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Joe Biden,57,Male,Most of the time,IL,"$40,000 to $44,999",Not Hispanic,High school graduate,Conservative,0,1,51 to 65,White
Donald Trump,32,Male,Most of the time,MN,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,21 to 35,"Black, or African American"
Donald Trump,54,Female,Most of the time,MO,"$20,000 to $24,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Joe Biden,42,Female,Some of the time,CA,"$80,000 to $84,999",Mexican,Masters degree,Moderate,0,1,36 to 50,Other race
Joe Biden,18,Female,Some of the time,CA,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,20 or less,White
Donald Trump,56,Male,Most of the time,PA,"$70,000 to $74,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Donald Trump,42,Male,Most of the time,CA,"$200,000 to $249,999",Not Hispanic,Doctorate degree,Very Liberal,1,0,36 to 50,White
Joe Biden,70,Male,Most of the time,AZ,"$35,000 to $39,999",Not Hispanic,Masters degree,Very Liberal,0,1,66 to 80,White
Joe Biden,40,Male,Only now and then,MO,"$25,000 to $29,999",Not Hispanic,Completed some high school,Very Liberal,0,1,36 to 50,"Black, or African American"
Joe Biden,57,Male,Most of the time,WI,"$75,000 to $79,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,White
Donald Trump,40,Male,Most of the time,NY,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,38,Male,Most of the time,PA,"$125,000 to $149,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Joe Biden,38,Female,Some of the time,MN,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,36 to 50,White
Joe Biden,34,Male,Most of the time,NH,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,White
Joe Biden,38,Female,Some of the time,MI,"$35,000 to $39,999",Not Hispanic,High school graduate,Very Liberal,0,1,36 to 50,White
Joe Biden,21,Female,Some of the time,CO,"Less than $14,999",Not Hispanic,Completed some high school,Moderate,0,1,21 to 35,White
Donald Trump,40,Male,Most of the time,VA,"$175,000 to $199,999",Not Hispanic,Masters degree,Very Conservative,1,0,36 to 50,White
Joe Biden,45,Female,Some of the time,MI,"Less than $14,999",Not Hispanic,Completed some high school,Liberal,0,1,36 to 50,"Black, or African American"
Joe Biden,19,Female,Some of the time,PA,"$50,000 to $54,999",Not Hispanic,"Completed some college, but no degree",Conservative,0,1,20 or less,other asian or pacific islander
Joe Biden,65,Female,Most of the time,CA,"$100,000 to $124,999",Not Hispanic,Masters degree,Liberal,0,1,51 to 65,White
Donald Trump,40,Male,Most of the time,KY,"$250,000 and above",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,1,0,36 to 50,White
Joe Biden,37,Female,Only now and then,NV,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,0,1,36 to 50,White
Joe Biden,20,Male,Some of the time,IL,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,20 or less,White
Joe Biden,42,Male,Most of the time,NY,"$200,000 to $249,999",Not Hispanic,Masters degree,Very Liberal,0,1,36 to 50,White
Joe Biden,19,Female,Most of the time,GA,"$65,000 to $69,999",Mexican,"College Degree (such as B.A., B.S.)",Moderate,0,1,20 or less,Other race
Joe Biden,45,Male,Only now and then,VA,"$150,000 to $174,999",Not Hispanic,Masters degree,Conservative,0,1,36 to 50,White
Donald Trump,67,Female,Some of the time,IN,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,29,Male,Only now and then,MD,"$35,000 to $39,999",Not Hispanic,Completed some high school,Moderate,0,1,21 to 35,"Black, or African American"
Joe Biden,68,Female,Most of the time,CA,"$50,000 to $54,999",Not Hispanic,Associate Degree,Liberal,0,1,66 to 80,White
Joe Biden,31,Male,Some of the time,NJ,"$250,000 and above",Not Hispanic,Masters degree,Very Liberal,0,1,21 to 35,Chinese
